Program_Type,Program_Code,Faculty,Department,DEPARTMENT_ID,Program,Type_of_Program,Includes_Degree_Types,Author,Approver
Academic,AC2780,Schulich,Schulich School of Business,229,Finance,Graduate Degree,M of Finance,Pauline Shum,Dezsö Horváth
Academic,AC2790,Schulich,Schulich School of Business,229,Accounting,Graduate Degree,MAcc,Marcia Annisette,Dezsö Horváth
Academic,AC2800,Schulich,Schulich School of Business,229,Business Analitics,Graduate Degree,MSc in Business Analitics,Murat Kristal,Dezsö Horváth
Academic,AC2810,Schulich,Schulich School of Business,229,Business,Graduate Degree,PhD,Eileen Fischer,Dezsö Horváth
Academic,AC2830,Science,Biology,20650,Applied Biotechnology,"Degree (minor/major, certificate)",BSc(Tech),Paula Wilson,Ray Jayawardhana
Academic,AC2840,Science,Biology,20650,Biology,"Degree (minor/major, certificate)","BSc, iBSc",Paula Wilson,Ray Jayawardhana
Academic,AC2850,Science,Biology,20650,Environmental Biology,"Degree (minor/major, certificate)",BSc,Alex Mills,Ray Jayawardhana
Academic,AC2860,Science,Biology,20650,Biology,Graduate Degree,MSc,Michael Scheid,Ray Jayawardhana
Academic,AC2870,Science,Biology,20650,Biology,Graduate Degree,PhD,Michael Scheid,Ray Jayawardhana
Academic,AC2890,Science,Chemistry,20700,Chemistry,"Degree (minor/major, certificate)",BSc,Gerald Audette,Ray Jayawardhana
Academic,AC2900,Science,Chemistry,20700,Biochemistry,"Degree (minor/major, certificate)",BSc,Valeria Tsoukanova,Ray Jayawardhana
Academic,AC2910,Science,Chemistry,20700,Chemistry,Graduate Degree,MSc,Dennis Stynes,Ray Jayawardhana
Academic,AC2920,Science,Chemistry,20700,Chemistry,Graduate Degree,PhD,Gino Lavoie,Ray Jayawardhana
Academic,AC2940,Science,LAPS - Geography,56800,Geography,"Degree (minor/major, certificate)",BSc,Steven Tufts,Ray Jayawardhana
Academic,AC2950,Science,LAPS - Geography,56800,Environmental Science,"Degree (minor/major, certificate)",BSc,Steven Tufts,Ray Jayawardhana
Academic,AC2970,Science,Mathematics & Statistics,21100,Applied Mathematics,"Degree (minor/major, certificate)",BA,Mike Haslam,Ray Jayawardhana
Academic,AC2980,Science,Mathematics & Statistics,21100,Applied Mathematics,"Degree (minor/major, certificate)",BSc,Mike Haslam,Ray Jayawardhana
Academic,AC2990,Science,Mathematics & Statistics,21100,Computational Mathematics,"Degree (minor/major, certificate)",BSc,Mike Haslam,Ray Jayawardhana
Academic,AC3000,Science,Mathematics & Statistics,21100,Mathematics,"Degree (minor/major, certificate)",BA,Peter Gibson,Ray Jayawardhana
Academic,AC3010,Science,Mathematics & Statistics,21100,Mathematics,"Degree (minor/major, certificate)",BSc,Peter Gibson,Ray Jayawardhana
Academic,AC3020,Science,Mathematics & Statistics,21100,International Dual Degree in Mathematics and Statistics,"Degree (minor/major, certificate)",BSc,Steven Wang,Ray Jayawardhana
Academic,AC3030,Science,Mathematics & Statistics,21100,Mathematics for Commerce,"Degree (minor/major, certificate)",BA,Ed Furman,Ray Jayawardhana
Academic,AC3050,Science,Mathematics & Statistics,21100,Mathematics for Education,"Degree (minor/major, certificate)",BA,Walter Whiteley,Ray Jayawardhana
Academic,AC3060,Science,Mathematics & Statistics,21100,Mathematics for Education,"Degree (minor/major, certificate)",BSc,Walter Whiteley,Ray Jayawardhana
Academic,AC3070,Science,Mathematics & Statistics,21100,Statistics,"Degree (minor/major, certificate)",BA,Steven Wang,Ray Jayawardhana
Academic,AC3080,Science,Mathematics & Statistics,21100,Statistics,"Degree (minor/major, certificate)",BSc,Steven Wang,Ray Jayawardhana
Academic,AC3090,Science,Mathematics & Statistics,21100,Mathematics & Statistics,Graduate Degree,MA,Huaiping Zhu,Ray Jayawardhana
Academic,AC3110,Science,Mathematics & Statistics,21100,Mathematics: Applied & Industrial,Graduate Degree,MSc,Huaiping Zhu,Ray Jayawardhana
Academic,AC3120,Science,Mathematics & Statistics,21100,Mathematics & Statistics,Graduate Degree,PhD,Huaiping Zhu,Ray Jayawardhana
Academic,AC3140,Science,Physics & Astronomy,21050,Biophysics,"Degree (minor/major, certificate)",BSc,Marshall McCall,Ray Jayawardhana
Academic,AC3150,Science,Physics & Astronomy,21050,Physics,"Degree (minor/major, certificate)",BSc,Marshall McCall,Ray Jayawardhana
Academic,AC3160,Science,Physics & Astronomy,21050,Physics and Astronomy,Graduate Degree,MSc,Wendy Taylor,Ray Jayawardhana
Academic,AC3170,Science,Physics & Astronomy,21050,Physics and Astronomy,Graduate Degree,PhD,Wendy Taylor,Ray Jayawardhana
Academic,AC3190,Science,Science General,21350,Science,"Degree (minor/major, certificate)",BSc,Peter Cribb,Ray Jayawardhana
Academic,AC3200,Science,Applied Science& Technology,21150,Science and Technology Studies,"Degree (minor/major, certificate)",BSc,Ernst Hamm,Ray Jayawardhana
Academic,AC3210,Science,Applied Science& Technology,21150,Science and Technology Studies,Graduate Degree,MA,Jagdish Hattiangadi,Ray Jayawardhana
Academic,AC3220,Science,Applied Science& Technology,21150,Science and Technology Studies,Graduate Degree,PhD,Kenton Kroker,Ray Jayawardhana
Research,AC3240,Science,Faculty of Science,9006,Centre for Research on Biomolecular Interactions,ORU,,Sergey Krylov,Ray Jayawardhana
Research,AC3250,Science,Faculty of Science,9006,The Institute for Science and Technology Studies,ORU,,Bernard Lightman,Ray Jayawardhana
Research,AC3260,Science,Faculty of Science,9006,Centre for Atmospheric Chemistry,ORU,,Robert McLaren,Ray Jayawardhana
Research,AC3270,Science,Faculty of Science,9006,Centre for Research in Mass Spectrometry,ORU,,Demian Ifa,Ray Jayawardhana
Research,AC3290,MISC - VPRI,Office of the VP Res&Innovat'n,43000,Centre for Asian Research* Asian Studies,ORU,Graduate Diploma Type 2,Philip Kelly,Robert Hache
Research,AC3320,MISC - VPRI,Office of the VP Res&Innovat'n,43000,Centre for Jewish Studies* Jewish Studies,ORU,Graduate Diploma Type 3,Carl Ehrilich,Robert Hache
Research,AC3330,MISC - VPRI,Office of the VP Res&Innovat'n,43000,CERLAC* Latin American and Caribbean Studies,ORU,Graduate Diploma Type 2,Carlota McAllister,Robert Hache
Research,AC3350,MISC - VPRI,Office of the VP Res&Innovat'n,43000,Centre for Refugee Studies,ORU,Graduate Diploma Type 2,Jennifer Hyndman,Robert Hache
Academic,AC3360,MISC - VPAP,Office of the VP Academic & Provost,201,TYP,,,Alice Pitt,Rhonda Lenton
Research,AC3390,MISC - VPRI,Office of the VP Res&Innovat'n,43000,The Harriet Tubman Institute,ORU,,Annie Bunting,Robert Hache
Research,AC3400,MISC - VPRI,Office of the VP Res&Innovat'n,43000,Robarts Centre for Canadian Studies,ORU,,Colin Coates,Robert Hache
Research,AC3410,MISC - VPRI,Office of the VP Res&Innovat'n,43000,Centre for Feminist Research,ORU,,Ena Dua,Robert Hache
Research,AC3430,MISC - VPRI,Office of the VP Res&Innovat'n,43000,York Centre for Vision Research,ORU,,Laurence Harris,Robert Hache
Research,AC3450,MISC - VPRI,Office of the VP Res&Innovat'n,43000,Institute for Social Research,ORU Short Courses (e.g. SPSS/SAS training); Spring Seminar Series on Social Research Methods; Summer Program in Data Analysis,,Les Jacobs,Robert Hache
Research,AC3460,MISC - VPRI,Office of the VP Res&Innovat'n,43000,Institute for Research on Learning Technologies,ORU,,Jennifer Jenson,Robert Hache
Research,AC3480,MISC - VPRI,Office of the VP Res&Innovat'n,43000,The City Institute at York University,ORU,,Linda Peake,Robert Hache
Research,AC3490,MISC - VPRI,Office of the VP Res&Innovat'n,43000,York Institute for Health Research,ORU,,Michaela Hynie,Robert Hache
Academic,AC3500,Lassonde,Civil Engineering,9000,Civil Engineering,Undergraduate Degree,BEng,Jit Sharma,Richard Hornsey
Administrative,AD0010,,Division of VP Advancement,700,Office of VP of Advancement,,,Caterina Elzbet,Jeff O'Hagan
Administrative,AD0020,,Division of VP Advancement,700,Advancement Services,,,Leanne Kipfer,Jeff O'Hagan
Administrative,AD0035,,Division of VP Advancement,700,Community and Alumni Relations,,,James Allan,Jeff O'Hagan
Administrative,AD0050,,Division of VP Advancement,700,Convocation,,,James Allan,Jeff O'Hagan
Administrative,AD0060,,Division of VP Advancement,700,Development,,,Wade Hall,Jeff O'Hagan
Administrative,AD0070,,Division of the President,100,Office of the President,,,Ijade Maxwell Rodrigues,Mamdouh Shoukri
Administrative,AD0080,,Division of the President,100,Ombudsman,,,Ijade Maxwell Rodrigues,Mamdouh Shoukri
Administrative,AD0090,,Division of the President,100,Centre for Human Rights,,,Noel Badiou,Mamdouh Shoukri
Administrative,AD0100,,Division of the President,100,General Counsel,,,Maureen Armtstrong,Mamdouh Shoukri
Administrative,AD0110,,Division of the President,100,University Secretariat,,,Harriet Lewis,Mamdouh Shoukri
Administrative,AD0120,,Division of the President,100,Strategic Communications,,,Susan Webb,Mamdouh Shoukri
Administrative,AD0130,,Division of the President,100,Marketing and Creative Services,,,Susan Webb,Mamdouh Shoukri
Administrative,AD0140,,Division of the President,100,Media Relations,,,Susan Webb,Mamdouh Shoukri
Administrative,AD0150,,Division of the President,100,Strategic Initiatives and Administration,,,Susan Webb,Mamdouh Shoukri
Administrative,AD0160,,Division of VP Students,300,Office of the Vice Provost Students,,,Sheila Forshaw,Rhonda Lenton
Administrative,AD0170,,Division of VP Students,300,Recruitment - Domestic,,,Don Hunt,Janet Morrison
Administrative,AD0180,,Division of VP Students,300,Recruitment - International,,,Don Hunt,Janet Morrison
Administrative,AD0190,,Division of VP Students,300,Admissions (Assessment and Transfer Credit),,,Don Hunt,Janet Morrison
Administrative,AD0200,,Division of VP Students,300,RO Systems,,,Don Hunt,Janet Morrison
Administrative,AD0210,,Division of VP Students,300,Student Records Management (including Degree Audit),,,Don Hunt,Janet Morrison
Administrative,AD0220,,Division of VP Students,300,Student Client Services,,,Don Hunt,Janet Morrison
Administrative,AD0230,,Division of VP Students,300,"Scheduling – Academic, Accommodated Tests and Exams",,,Don Hunt,Janet Morrison
Administrative,AD0240,,Division of VP Students,300,"Financial (Scholarships & Bursaries, Government Aid and Student Financial Services)",,,Don Hunt,Janet Morrison
Administrative,AD0250,,Division of VP Students,300,"Communications (Perspective Students, Current Students and Strategic)",,,Donna Cope,Janet Morrison
Administrative,AD0260,,Division of VP Students,300,OSCR,,,Debbie Hansen,Janet Morrison
Administrative,AD0270,,Division of VP Students,300,Career Services,,,Julie Rahmer,Janet Morrison
Administrative,AD0280,,Division of VP Students,300,Experiential Education,,,Julie Rahmer,Janet Morrison
Administrative,AD0290,,Division of VP Students,300,CDS - Personal Counselling and Learning Skills,,,Marc Wilchesky,Janet Morrison
Administrative,AD0300,,Division of VP Students,300,CDS - Disability Services,,,Marc Wilchesky,Janet Morrison
Administrative,AD0310,,Division of VP Students,300,SCLD (excluding Orientation),,,Catherine Salole,Janet Morrison
Administrative,AD0320,,Division of VP Students,300,"Sport & Recreation (Intramurals, Fitness, Recreation, Lifestyle, Camps)",,,Jennifer Myers,Janet Morrison
Administrative,AD0331,,Division of VP Students,300,"Sport & Recreation (Marketing, Promotions, Alumni, Fundraising)",,,Jennifer Myers,Janet Morrison
Administrative,AD0332,,Division of VP Students,300,Sports and Recreation (Varsity),,,Jennifer Myers,Janet Morrison
Administrative,AD0340,,Division of VP Students,300,Sport and Recreation (Facilities),,,Jennifer Myers,Janet Morrison
Administrative,AD0350,,Division of VP Students,300,YU Start & Orientation,,,Brendan Schulz,Janet Morrison
Administrative,AD0370,,Office of the VP Academic & Provost,201,Office of the Provost,,,Richard Ooi,Rhonda Lenton
Administrative,AD0380,,Office of the VP Academic & Provost,201,Vice-Provost Academic,,,Alice Pitt,Rhonda Lenton
Administrative,AD0390,,Office of the VP Academic & Provost,201,Quality Assurance,,,Anna Pralat,Alice Pitt
Administrative,AD0400,,Office of the VP Academic & Provost,201,YU-TD Community Engagement Centre,,,Yvette Munro,Alice Pitt
Administrative,AD0410,,Office of the VP Academic & Provost,201,Atkinson Centre for Mature & Part-time Students,,,Brian Poser,Alice Pitt
Administrative,AD0420,,Office of the VP Academic & Provost,201,Associate Vice President Teaching & Learning,,,Sue Vail,Rhonda Lenton
Administrative,AD0430,,Office of the VP Academic & Provost,201,Teaching Commons,,,Celia Popovic,Sue Vail
Administrative,AD0440,,Office of the VP Academic & Provost,201,Associate Vice President International,,,Marilyn Lambert-D,Rhonda Lenton
Administrative,AD0450,,Office of the VP Academic & Provost,201,OIPA - Integrated Resource Planning,,,Sarah Cantrell,Rhonda Lenton
Administrative,AD0460,,Office of the VP Academic & Provost,201,OIPA - Institutional Research,,,Sarah Cantrell,Rhonda Lenton
Administrative,AD0480,,Office of the VP Academic & Provost,201,Art Gallery of York University,,,Philip Monk,Rhonda Lenton
Administrative,AD0490,,Office of the VP Res&Innovat'n,43000,Office of VPRI,,,Felix Moses,Robert Hache
Administrative,AD0500,,Office of the VP Res&Innovat'n,43000,Office of Research Services,,,David Phipps,Robert Hache
Administrative,AD0550,,Office of the VP Res&Innovat'n,43000,Office of Research Ethics,,,Allison Collins- Mrakas,Robert Hache
Administrative,AD0560,,Office of the VP Res&Innovat'n,43000,Special Programs,,,Obadiah George,Robert Hache
Administrative,AD0570,,PRASE Project,62800,PRASE,,,Suzanne Killick,Gary Brewer
Administrative,AD0590,,York Univ Development Corp,28200,"Property Development, Planning & Advisory",,,Chris Edey,Gary Brewer
Administrative,AD0600,,GS-Office of the Dean,18400,Administrative Support,,,Barbara Crow,Rhonda Lenton
Administrative,AD0620,,University Information Technology,407,Office of the CIO/IT Administration and Planning,,,A Della-Rossa,Bob Gagne
Administrative,AD0630,,University Information Technology,407,Desktop/end user computing,,,Rick Sambhi,Bob Gagne
Administrative,AD0640,,University Information Technology,407,Client Service Support,,,Karen Wash,Bob Gagne
Administrative,AD0660,,University Information Technology,407,Information Security and Identity Management,,,Chris Russel,Bob Gagne
Administrative,AD0670,,University Information Technology,407,Communications Infrastructure Services (Network/Voice/Data Centres),,,Chris Russel,Bob Gagne
Administrative,AD0680,,University Information Technology,407,"Systems, Storage and Database Management",,,Bruce Fisher,Chris Russel
Administrative,AD0690,,University Information Technology,407,"Email, Calendaring, Messaging Services",,,Bruce Fisher,Chris Russel
Administrative,AD0700,,University Information Technology,407,Applications Support for Administrative Process Enablement,,,Amar Chana,Peter Rowley
Administrative,AD0710,,University Information Technology,407,Application Support for Student Administration and Student Services,,,Al Regina,Peter Rowley
Administrative,AD0720,,University Information Technology,407,Web Support and Collaborations Services,,,Neal Stephenson,Peter Rowley
Administrative,AD0730,,University Information Technology,407,Classroom Learning Space Support and Student Labs,,,Jason Gerrity,Bob Gagne
Administrative,AD0740,,University Information Technology,407,e-Learning Technology Support (Media Services),,,Rob Finlayson,Peter Rowley
Administrative,AD0750,,Finance,403,Office of the AVP Finance & CFO,,,Trudy Pound-Curtis,Gary Brewer
Administrative,AD0760,,Finance,403,Comptroller Services,,,Aldo Dimarcantonio,Trudy Pound-Curtis
Administrative,AD0770,,Finance,403,Research Financial Services,,,Aldo Dimarcantonio,Trudy Pound-Curtis
Administrative,AD0780,,Finance,403,Budgets & Planning,,,Aldo Dimarcantonio,Trudy Pound-Curtis
Administrative,AD0790,,Finance,403,Procurement Services,,,Dexter King,Trudy Pound-Curtis
Administrative,AD0800,,Finance,403,Treasury & Investments,,,Laurie Lawson,Trudy Pound-Curtis
Administrative,AD0810,,Finance,403,Pension Fund Management,,,Leona Fields,Trudy Pound-Curtis
Administrative,AD0820,,Finance,403,Insurance & Risk Management Services,,,Steve Pottle,Trudy Pound-Curtis
Administrative,AD0830,,Human Resources,404,Office of the AVP HR,,,Aileen Ashman,Gary Brewer
Administrative,AD0840,,Human Resources,404,Compensation,,,Christine Ablack,Aileen Ashman
Administrative,AD0850,,Human Resources,404,Pension & Benefits,,,Terisa Ducharme,Aileen Ashman
Administrative,AD0860,,Human Resources,404,Learning & Organizational Development,,,Suzanne Killick,Aileen Ashman
Administrative,AD0870,,Human Resources,404,Recruitment Services,,,Lisa Tomassi,Aileen Ashman
Administrative,AD0880,,Human Resources,404,Payroll & Employee Records,,,Thyra Garcia,Aileen Ashman
Administrative,AD0890,,Human Resources,404,HR Information Management,,,Sue Bulof,Aileen Ashman
Administrative,AD0900,,Human Resources,404,Non-Academic Employee Relations,,,Donna Smith,Aileen Ashman
Administrative,AD0910,,Human Resources,404,"Employee Health, Safety & Well-being",,,Vanessa Aguiar,Aileen Ashman
Administrative,AD0920,,Human Resources,404,CSBO Human Resources & Administration,,,Joanne Cary,Aileen Ashman
Administrative,AD0930,,Division of VP Finance & Administration,404,Faculty Relations,,,Barry Miller,Gary Brewer
Administrative,AD0940,,Campus Services & Business Operations,402,Office of the AVP CSBO,,,Richard Francki,Gary Brewer
Administrative,AD0950,,Campus Services & Business Operations,402,Central Utilities & Energy Management,,,Brad Cochrane,Richard Francki
Administrative,AD0960,,Campus Services & Business Operations,402,Building Maintenance,,,Steve Sicluna,Richard Francki
Administrative,AD0970,,Campus Services & Business Operations,402,Facilities Development,,,Alan Wong,Richard Francki
Administrative,AD0980,,Campus Services & Business Operations,402,Space Planning & Renovations,,,Patrick Saavedra,Richard Francki
Administrative,AD0990,,Campus Services & Business Operations,402,Custodial Services,,,Bob Smith,Richard Francki
Administrative,AD1000,,Campus Services & Business Operations,402,"Grounds, Fleet & Waste Management",,,Bob Smith,Richard Francki
Administrative,AD1010,,Campus Services & Business Operations,402,Campus Planning & Sustainability,,,Helen Psathas,Richard Francki
Administrative,AD1020,,Campus Services & Business Operations,402,Transportation Services,,,Helen Psathas,Richard Francki
Administrative,AD1030,,Campus Services & Business Operations,402,CSBO – Finance,,,Stephen Jacobson,Richard Francki
Administrative,AD1040,,Campus Services & Business Operations,402,Mailing Services,,,Steve Glassman,Richard Francki
Administrative,AD1050,,Campus Services & Business Operations,402,Bookstore,,,Steve Glassman,Richard Francki
Administrative,AD1060,,Campus Services & Business Operations,402,Printing Services,,,Steve Glassman,Richard Francki
Administrative,AD1070,,Campus Services & Business Operations,402,Student Housing Services,,,Debbie Kee,Richard Francki
Administrative,AD1080,,Campus Services & Business Operations,402,Accommodation & Conference Services,,,Debbie Kee,Richard Francki
Administrative,AD1090,,Campus Services & Business Operations,402,Food Services,,,Anthony Barbisan,Richard Francki
Administrative,AD1100,,Campus Services & Business Operations,402,Parking Services,,,Anthony Barbisan,Richard Francki
Administrative,AD1110,,Campus Services & Business Operations,402,YU Card,,,Anthony Barbisan,Richard Francki
Administrative,AD1120,,Campus Services & Business Operations,402,Lease and Contract Management,,,Stephen Jacobson,Richard Francki
Administrative,AD1130,,Campus Services & Business Operations,402,Security Services,,,Aldo Altomare,Richard Francki
Administrative,AD1140,,Campus Services & Business Operations,402,Emergency Preparedness,,,Aldo Altomare,Richard Francki
Administrative,AD1150,,Campus Services & Business Operations,402,Safety Initiatives,,,Rob Castle,Gary Brewer
Administrative,AD1160,,Campus Services & Business Operations,402,goSAFE,,,Helen Psathas,Richard Francki
Administrative,AD1170,,Division of VP Finance & Administration,400,Office of the VP Finance and Administration,,,Robert Castle,Gary Brewer
Administrative,AD1180,,Division of VP Finance & Administration,400,Internal Audit,,,Ran Lewin,Gary Brewer
Administrative,AD1190,,Division of VP Finance & Administration,400,Temporary Use of University Space,,,Pam Persaud,Rob Castle
Administrative,AD1200,Education,ED-Office of the Dean,16150,Dean’s Office,,,Andrea Torre,Ron Owston
Administrative,AD1210,Education,ED-Education Resource Centre,16400,Education Resource Centre,,,Adam Trent,Ron Owston
Administrative,AD1230,Env Studies,ES-Office of the Dean,16550,Dean’s Office,,,Paul Elliot,Noël Sturgeon
Administrative,AD1240,Fine Arts,FA-Office of the Dean,16900,Dean’s Office,,,Carol Altilia,Shawn Brixey
Administrative,AD1250,Fine Arts,FA-Performance Facilites,53200,Performance Facilities,,,Carol Altilia,Shawn Brixey
Administrative,AD1260,Fine Arts,FA-Winters College,27000,Winters College,,,Marie Rickard,Shawn Brixey
Administrative,AD1270,Glendon,Glendon,224,Dean’s Office,,,Gilles Fortin,Donald Ipperciel
Administrative,AD1280,Glendon,GL-Office of Student Services,27150,Student Services,,,Rosanna Furgiuele,Donald Ipperciel
Administrative,AD1290,Glendon,GL-Athletics Club,27050,Glendon Athletic Club,,,Rosanna Furgiuele,Donald Ipperciel
Administrative,AD1300,Health,HH-Office of the Dean,53850,Dean’s Office,,,Mary Verrilli,Harvey Skinner
Administrative,AD1310,Health,Faculty of Health,226,York U Psychology Clinic,,,Louise Hartley,Harvey Skinner
Administrative,AD1320,Health,Faculty of Health,226,Calumet College (shared with Schulich),,,Suzanne Macdonald,Harvey Skinner
Administrative,AD1330,Health,Faculty of Health,226,Stong College (shared with LAPS),,,Lesley Beagrie,Harvey Skinner
Administrative,AD1340,Lassonde,Lassonde School of Engineering,9004,Dean’s Office,,,Fred Zhu,Janusz Kozinski
Administrative,AD1360,LA&PS,Faculty of Liberal Arts & Professional Studies,227,Dean’s Office,,,Didier Pomerleau,Martin Singer
Administrative,AD1370,LA&PS,Faculty of Liberal Arts & Professional Studies,227,Founders College,,,Mauro Buccheri,Martin Singer
Administrative,AD1380,LA&PS,Faculty of Liberal Arts & Professional Studies,227,McLaughlin College,,,David Leyton-Brown,Martin Singer
Administrative,AD1390,LA&PS,Faculty of Liberal Arts & Professional Studies,227,New College,,,Christian Marjollet,Martin Singer
Administrative,AD1400,LA&PS,Faculty of Liberal Arts & Professional Studies,227,Vanier College,,,Stanley Tweyman,Martin Singer
Administrative,AD1410,Osgoode,Osgoode Hall Law School,228,Dean’s Office,,,Phyllis Lepore Babcock,Lorne Sossin
Administrative,AD1430,Osgoode,Osgoode Hall Law School,228,MDC,,,Phyllis Lepore Babcock,Lorne Sossin
Administrative,AD1440,Schulich,Schulich School of Business,229,Dean’s Office,,,Magda Szaki,Dezso Horvath
Administrative,AD1450,Science,SC-Office of the Dean,21200,Dean’s Office,,,Helen McLellan,Ray Jayawardhana
Administrative,AD1460,Science,Faculty of Science,9006,Observatory,,,Paul Delaney,Ray Jayawardhana
Administrative,AD1470,,Libraries,231,Administration and University Librarian's Office,,,Robert Thompson,Catherine Davidson
Administrative,AD1480,,Libraries,231,Teaching & Learning,,,Adam Taves,Catherine Davidson
Administrative,AD1490,,Libraries,231,Learning Environments/Physical and Virtual,,,John Dupuis,Catherine Davidson
Administrative,AD1500,,Libraries,231,Collections (Physical and Digital),,,Rob van der Bliek,Catherine Davidson
Administrative,AD1510,,Libraries,231,Research,,,Michael Moir,Catherine Davidson
Administrative,AD1520,Health,Faculty of Health,226,Vivaria,,,Mary Verrilli,Harvey Skinner
Administrative,AD1530,Science,Faculty of Science,9006,Bethune College,,,John Amanatides,Ray Jayawardhana
Administrative,AD1540,Osgoode,Osgoode Hall Law School,,Law Library,,,Louis Mirando,Lorne Sossin
